labels,image_path,post_text
flood,dataset\enchente\2013a96b97d617e1d762febe8ad32c0e.jpg,Meu  Deus  imagino como  será  no  forte  do  inverno .
flood,dataset\enchente\5f21ba387b47fc51e569f3cb914fbd50.jpg,"URUGUAIANA DEBAIXO D’ÁGUA | Chuva extrema em curto período atingiu a cidade de Uruguaiana neste sábado com alagamentos e inundações na área urbana do município do Oeste gaúcho. Ruas viraram rios e a correnteza chegou a deslocar carros. A estação do Instituto Nacional de Meteorologia registrou 68 mm até 16h deste sábado, entretanto está situada fora da área em que mais choveu, onde outras medições apontaram mais de 100 mm em menos de duas horas. O evento de chuva torrencial em Uruguaiana está dentro de esperado e advertido pela MetSul no alerta publicado ontem (ver nesta página do Facebook). Volumes altos de chuva, entre 50 mm e 100 mm, foram observados ainda em pontos de Itaqui e Alegrete.  Estão mantidas as condições favoráveis à chuva forte a intensa em várias regiões gaúchas neste fim de semana e na primeira metade da semana. No restante deste sábado, risco de chuva localmente forte a torrencial e temporais isolados no Centro, Norte e Leste do Rio Grande do Sul, o que inclui a região de Porto Alegre. Amanhã, domingo, ar muito quente infiltrará pelo Noroeste do Estado e organizará uma frente quente sobre o Rio Grande do Sul, o que deve resultar em novos episódios de chuva intensa com acumulados excepcionalmente altos em alguns pontos. O maior risco será para o Centro, parte do Oeste (perto do Uruguai), o Sul e algumas áreas do Leste do Estado. Mantém-se ainda o aviso de temporais isolados com risco de muitos raios, granizo e vento forte. Hoje, rajadas ao redor de 80 km/h foram observadas em Livramento. (Meteorologista Estael Sias com foto da Rádio Charrua)"
flood,dataset\enchente\43e8003652fc74825ad922f7a6368fd0.jpg,"VÍDEO: A forte chuva que atingiu Canoas nesta quinta-feira (23) causou vários novos pontos de alagamento na cidade. A equipe da TV Pampa foi até o bairro Mathias Velho, que é um dos mais prejudicados pelas inundações. O escoamento insuficiente em algumas áreas deixou ruas alagadas, incluindo locais como a Estrada do Nazário, Avenida Farroupilha com Armando Fajardo, Azambuja Vieira, Rua General Salustiano, Inconfidência, Doutor Barcelos, e diversas ruas do Centro. De acordo com o Escritório de Resiliência Climática e Defesa Civil de Canoas (Eclima), foram registrados 90,9 milímetros (mm) de chuva em 13 horas, entre 3h e 16h.  O #sosriograndedosul recebe doações a fim de oferecer apoio humanitário às vítimas das enchentes. AJUDE  PIX (CNPJ): 92.958.800/0001-38 Instituição: Banrisul"
flood,dataset\enchente\f0955e19507bafec8848a4881d820e05.jpg,"Meio rio, meio lago... Um dos locais mais afetados pelas inundações em Porto Alegre foram as ilhas do delta do Jacuí, como por exemplo a Ilha da Pintada. Após a baixa das águas, se observou uma enorme quantidade de areia nas ruas da ilha (foto de cima, fonte: GZH). Ora, é o que se espera de um meio de um rio! Na calha do rio e especialmente na região do delta, é onde os sedimentos arenosos vão se depositar, pois ali teve uma corrente forte o suficiente para os trazer. Nas suas margens mais distantes e na planície de inundação, vão ficar só os sedimentos bem finos, como a argila que vemos no centro da capital. Sempre teve e tem discussão por estas bandas se o Guaíba é um rio ou lago, e os argumentos não faltam para ambos os lados, com a hipótese do lago estando mais forte ultimamente. Mas olhando pelo mapa e por este recente episódio deposicional, parece que o ""domínio"" do Jacuí vai mais até sul do que se imagina. A inundação que atingiu o centro, parece ter vindo do fluvial, enquanto que o lacustre realmente começa um pouco mais abaixo, de Ipanema para sul. A transição de rio para lago parece ser bem abrupta devido as características peculiares do gráben do Guaíba, configurando um sistema híbrido que confunde os portoalegrenses há tempos! Notícia: https://gauchazh.clicrbs.com.br/.../dunas-de-areia-carros..."
flood,dataset\enchente\4dcc39e327b6f9475503d12347940eb4.jpg,"Ondas altas, com até 4 metros, causadas por um ciclone, estão impactando o litoral do Rio Grande do Sul, provocando uma forte ressaca. O fenômeno já gerou inundações em várias cidades, como Imbé e Tramandaí, onde a água invadiu ruas e calçadões. A Marinha do Brasil emitiu avisos sobre os riscos, indicando que a situação pode continuar até a manhã de segunda-feira. Em Capão da Canoa, a prefeitura delimitou áreas perigosas devido à intensidade das ondas."
flood,dataset\enchente\84a0c2ad5ffa1c450c68bbfff6adead0.jpg,O sol brilhou e eu sai pelas ruas da cidade a primeira vez depois das inundações. A gente tenta ser forte e olhar para o amanhã imaginando Porto Alegre reconstruída. ...ah mas não tem jeito... dá uma tristeza
flood,dataset\enchente\a017d6e848729110b3cf5f5420662021.jpg,Algumas pessoas não irão esperar pela chuva forte e pretendem deixar suas casas enquanto houver risco de novas inundações
flood,dataset\enchente\783b57766b9ffbd6fc9620fc42e52244.jpg,"Via  Porto Alegre 24 Horas  Um vídeo registrado por volta das 22h20 deste domingo mostra pontos de alagamento na Estação Rodoviária de Porto Alegre. As ruas do entorno também foram tomadas pela água, resultado da forte chuva que atingiu a cidade. Enquanto isso a prefeitura de Porto Alegre permanece com a administração negligente do Melo e cheia de casos de corrupção! #ForaMelo"
flood,dataset\enchente\ab35ab2be3fa09b68d8fdef599b88743.jpg,"Um forte temporal atingiu Tapejara, no Rio Grande do Sul, nesta segunda-feira, causando transtornos significativos. Ventos fortes, chuva intensa e granizo danificaram diversas áreas, derrubando árvores, destelhando casas e alagando ruas, o que dificultou o tráfego.  A falta de energia afetou vários bairros, e equipes trabalham para restabelecer o serviço. A Defesa Civil monitora a situação e orienta a população a evitar sair de casa devido ao risco de quedas de árvores e alagamentos.  Não há registros de feridos, mas há alerta para novos temporais nas próximas horas.  @sapucaianoticias_e_regiao"
flood,dataset\enchente\259508ce716b8f74197197eee99d9783.jpg,"#CiclonenoRS #PortoAlegre alagada. Estamos em alerta vermelho para chuva e vento forte informa o Inmet.  A forte chuva que atingiu Porto Alegre desde a tarde dessa terça e prossegue na manhã desta quarta-feira gerou bloqueios em ruas e avenidas da cidade. Alguns deles foram motivados por quedas de árvores e outros por postes que caíram e fios de alta tensão que estão nas vias. Segundo informações da Empresa Pública de Transporte e Circulação (EPTC), há também semáforos fora de operação e alguns locais com acúmulo de água. (Fonte:  Correio do Povo ) Sofia Cavedon  #ChuvaNoRS"
